date,campaign,campaign_type,spend,revenue,conversions
2025-01-01,brand_us,brand,182.63,1102.13,22
2025-01-02,brand_us,brand,165.17,1337.98,26
2025-01-03,brand_us,brand,228.0,1405.43,28
2025-01-04,brand_us,brand,153.66,1067.76,21
2025-01-05,brand_us,brand,131.75,987.27,19
2025-01-06,brand_us,brand,119.51,818.35,16
2025-01-07,brand_us,brand,119.49,720.36,14
2025-01-08,brand_us,brand,163.21,879.67,17
2025-01-09,brand_us,brand,223.02,1299.13,25
2025-01-10,brand_us,brand,227.75,1237.57,24
2025-01-11,brand_us,brand,214.5,1307.68,26
2025-01-12,brand_us,brand,154.4,828.54,16
2025-01-13,brand_us,brand,111.5,631.51,12
2025-01-14,brand_us,brand,105.35,800.38,16
2025-01-15,brand_us,brand,175.36,1174.58,23
2025-01-16,brand_us,brand,183.44,1150.96,23
2025-01-17,brand_us,brand,203.92,1146.14,22
2025-01-18,brand_us,brand,153.79,1076.19,21
2025-01-19,brand_us,brand,123.75,905.32,18
2025-01-20,brand_us,brand,110.16,801.96,16
2025-01-21,brand_us,brand,132.05,760.99,15
2025-01-22,brand_us,brand,180.95,1133.05,22
2025-01-23,brand_us,brand,188.31,1127.83,22
2025-01-24,brand_us,brand,221.5,1147.34,22
2025-01-25,brand_us,brand,158.84,930.55,18
2025-01-26,brand_us,brand,154.87,957.98,19
2025-01-27,brand_us,brand,122.28,814.26,16
2025-01-28,brand_us,brand,120.25,802.12,16
2025-01-29,brand_us,brand,136.71,857.86,17
2025-01-30,brand_us,brand,210.46,1223.22,24
2025-01-31,brand_us,brand,211.82,1375.44,27
2025-02-01,brand_us,brand,190.24,1155.9,23
2025-02-02,brand_us,brand,142.22,840.14,16
2025-02-03,brand_us,brand,91.8,680.87,13
2025-02-04,brand_us,brand,108.3,743.25,14
2025-02-05,brand_us,brand,182.3,957.04,19
2025-02-06,brand_us,brand,162.34,1090.12,21
2025-02-07,brand_us,brand,189.39,1304.73,26
2025-02-08,brand_us,brand,184.63,1226.04,24
2025-02-09,brand_us,brand,148.06,876.75,17
2025-02-10,brand_us,brand,127.2,683.7,13
2025-02-11,brand_us,brand,98.92,654.66,13
2025-02-12,brand_us,brand,173.93,1016.27,20
2025-02-13,brand_us,brand,170.47,1179.15,23
2025-02-14,brand_us,brand,177.72,1300.16,26
2025-02-15,brand_us,brand,176.62,1078.5,21
