date,campaign,campaign_type,spend,revenue,conversions
2025-01-01,prospecting_us,prospecting,175.81,644.61,12
2025-01-02,prospecting_us,prospecting,223.92,853.87,17
2025-01-03,prospecting_us,prospecting,228.68,860.29,17
2025-01-04,prospecting_us,prospecting,181.04,777.68,15
2025-01-05,prospecting_us,prospecting,163.24,636.25,12
2025-01-06,prospecting_us,prospecting,114.67,518.67,10
2025-01-07,prospecting_us,prospecting,134.31,485.34,9
2025-01-08,prospecting_us,prospecting,161.25,674.44,13
2025-01-09,prospecting_us,prospecting,231.19,849.5,16
2025-01-10,prospecting_us,prospecting,204.48,952.91,19
2025-01-11,prospecting_us,prospecting,177.52,674.29,13
2025-01-12,prospecting_us,prospecting,123.6,503.67,10
2025-01-13,prospecting_us,prospecting,90.72,448.41,8
2025-01-14,prospecting_us,prospecting,135.87,598.66,11
2025-01-15,prospecting_us,prospecting,130.25,641.38,12
2025-01-16,prospecting_us,prospecting,170.47,872.13,17
2025-01-17,prospecting_us,prospecting,179.55,833.21,16
2025-01-18,prospecting_us,prospecting,168.51,763.62,15
2025-01-19,prospecting_us,prospecting,134.49,638.08,12
2025-01-20,prospecting_us,prospecting,101.16,536.33,10
2025-01-21,prospecting_us,prospecting,122.67,578.09,11
2025-01-22,prospecting_us,prospecting,182.66,815.8,16
2025-01-23,prospecting_us,prospecting,175.98,728.51,14
2025-01-24,prospecting_us,prospecting,186.43,754.64,15
2025-01-25,prospecting_us,prospecting,187.07,871.61,17
2025-01-26,prospecting_us,prospecting,166.72,648.2,12
2025-01-27,prospecting_us,prospecting,119.68,567.57,11
2025-01-28,prospecting_us,prospecting,143.9,521.82,10
2025-01-29,prospecting_us,prospecting,162.07,747.28,14
2025-01-30,prospecting_us,prospecting,182.25,773.02,15
2025-01-31,prospecting_us,prospecting,247.34,1018.87,20
2025-02-01,prospecting_us,prospecting,210.52,861.39,17
2025-02-02,prospecting_us,prospecting,126.51,547.28,10
2025-02-03,prospecting_us,prospecting,115.52,514.0,10
2025-02-04,prospecting_us,prospecting,122.93,559.34,11
2025-02-05,prospecting_us,prospecting,154.36,717.47,14
2025-02-06,prospecting_us,prospecting,184.65,750.46,15
2025-02-07,prospecting_us,prospecting,176.23,723.42,14
2025-02-08,prospecting_us,prospecting,206.49,772.72,15
2025-02-09,prospecting_us,prospecting,124.21,619.05,12
2025-02-10,prospecting_us,prospecting,115.82,432.75,8
2025-02-11,prospecting_us,prospecting,113.65,470.26,9
2025-02-12,prospecting_us,prospecting,170.23,644.98,12
2025-02-13,prospecting_us,prospecting,163.4,658.22,13
2025-02-14,prospecting_us,prospecting,213.88,727.2,14
2025-02-15,prospecting_us,prospecting,206.36,704.04,14
2025-02-16,prospecting_us,prospecting,145.32,599.69,11
2025-02-17,prospecting_us,prospecting,110.78,432.43,8
2025-02-18,prospecting_us,prospecting,137.51,628.5,12
2025-02-19,prospecting_us,prospecting,128.9,565.53,11
2025-02-20,prospecting_us,prospecting,229.79,862.07,17
2025-02-21,prospecting_us,prospecting,178.12,729.27,14
2025-02-22,prospecting_us,prospecting,192.69,818.68,16
2025-02-23,prospecting_us,prospecting,144.93,691.98,13
2025-02-24,prospecting_us,prospecting,113.1,470.44,9
2025-02-25,prospecting_us,prospecting,121.54,512.35,10
2025-02-26,prospecting_us,prospecting,142.58,560.39,11
2025-02-27,prospecting_us,prospecting,186.13,842.97,16
2025-02-28,prospecting_us,prospecting,167.21,770.38,15
2025-03-01,prospecting_us,prospecting,191.53,790.72,15
2025-03-02,prospecting_us,prospecting,154.81,683.06,13
2025-03-03,prospecting_us,prospecting,122.97,456.34,9
2025-03-04,prospecting_us,prospecting,121.43,551.26,11
2025-03-05,prospecting_us,prospecting,143.93,561.62,11
